Date,Name,Year,Letterboxd URI,Rating
2021-09-11,Donnie Darko,2001,https://boxd.it/2b2A,4
2021-09-12,The Social Network,2010,https://boxd.it/17ue,2.5
2021-09-13,The Machinist,2004,https://boxd.it/248c,3.5
2021-09-13,Eraserhead,1977,https://boxd.it/299u,4.5
2021-09-13,Hiroshima Mon Amour,1959,https://boxd.it/22WY,0.5
2021-09-14,All About Lily Chou-Chou,2001,https://boxd.it/1JP0,4
2021-09-14,Taxi Driver,1976,https://boxd.it/2b8y,0.5
2021-09-14,Cry-Baby,1990,https://boxd.it/1XRa,5
2021-09-15,Fargo,1996,https://boxd.it/2aHM,5
2021-09-16,The Sound of Music,1965,https://boxd.it/1MLK,5
2021-09-18,Dead Poets Society,1989,https://boxd.it/2aSg,5
2021-09-19,The Lighthouse,2019,https://boxd.it/icFU,4.5
2021-09-20,Vertigo,1958,https://boxd.it/2apI,4.5
2021-09-20,Days of Being Wild,1990,https://boxd.it/1HbC,4.5
2021-09-20,Election,1999,https://boxd.it/1YEc,4
2021-09-21,Night at the Museum,2006,https://boxd.it/28wi,4.5
2021-09-22,Grease,1978,https://boxd.it/29YW,2.5
2021-09-22,The Truman Show,1998,https://boxd.it/18U8,4.5
2021-09-23,Persona,1966,https://boxd.it/29B4,5
2021-09-23,X-Men: First Class,2011,https://boxd.it/FOA,4
2021-09-23,Enter the Void,2009,https://boxd.it/1dy2,3.5
2021-09-23,The Major,2013,https://boxd.it/5MOC,2.5
2021-09-23,Irreversible,2002,https://boxd.it/29as,1
2021-09-23,Happy Together,1997,https://boxd.it/1Ha0,4.5
2021-09-23,Little Women,2019,https://boxd.it/aSVk,4
2021-09-24,Before Sunrise,1995,https://boxd.it/2bcU,5
2021-09-26,The Phantom of the Opera,2004,https://boxd.it/1XHu,3
2021-09-26,Whiplash,2014,https://boxd.it/7bQA,2
2021-09-27,West Side Story,1961,https://boxd.it/28dK,4
2021-09-27,Maurice,1987,https://boxd.it/1tZy,3.5
2021-09-27,Equilibrium,2002,https://boxd.it/211s,2.5
2021-09-27,Glass,2019,https://boxd.it/g3uO,2
2021-09-28,August in the Water,1995,https://boxd.it/3xQE,5
2021-09-28,Death Note,2006,https://boxd.it/psEs,4.5
2021-09-28,Hamilton,2020,https://boxd.it/kmvE,1.5
2021-09-29,The Fighter,2010,https://boxd.it/PP4,4
2021-09-29,Ford v Ferrari,2019,https://boxd.it/ce74,4
2021-09-30,The Flowers of War,2011,https://boxd.it/2Evc,4.5
2021-10-03,Night on the Galactic Railroad,1985,https://boxd.it/1800,4
2021-10-03,Free Guy,2021,https://boxd.it/k8dm,2
2021-10-04,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,5
2021-10-04,Cowboy Bebop: The Movie,2001,https://boxd.it/1Uc4,3
2021-10-04,Train to Busan,2016,https://boxd.it/dSQU,4.5
2021-10-06,From Up on Poppy Hill,2011,https://boxd.it/2VCa,3.5
2021-10-07,Before Sunset,2004,https://boxd.it/2bcg,4.5
2021-10-09,The Beautiful Person,2008,https://boxd.it/152W,3.5
2021-10-10,Angel Dust,1994,https://boxd.it/1esa,5
2021-10-10,Tokyo Blood,1993,https://boxd.it/bjei,3.5
2021-10-11,Labyrinth of Dreams,1997,https://boxd.it/2EuS,4
2021-10-11,Lost in Translation,2003,https://boxd.it/2b0E,4.5
2021-10-11,Rushmore,1998,https://boxd.it/1TAO,4.5
2021-10-11,In the Mood for Love,2000,https://boxd.it/29tE,4
2021-10-12,Mirrored Mind,2005,https://boxd.it/2MxK,4.5
2021-10-13,Gattaca,1997,https://boxd.it/29Du,3
2021-10-14,5 Centimeters per Second,2007,https://boxd.it/16G4,4.5
2021-10-15,Chernobyl,2019,https://boxd.it/mkbG,5
2021-10-15,2046,2004,https://boxd.it/29tu,3
2021-10-15,Ghost in the Shell,1995,https://boxd.it/1YYc,4.5
2021-10-17,Videodrome,1983,https://boxd.it/29uC,5
2021-10-18,Gravity,2013,https://boxd.it/GZY,3.5
2021-10-18,The Twelve Chairs,1977,https://boxd.it/1qDa,5
2021-10-19,Your Name.,2016,https://boxd.it/cUqs,5
2021-10-20,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,2
2021-10-20,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,5
2021-10-21,The King of Comedy,1982,https://boxd.it/2aJS,5
2021-10-22,The Intern,2015,https://boxd.it/7AOE,3
2021-10-22,Zoolander,2001,https://boxd.it/1YMA,5
2021-10-23,The Man Who Fell to Earth,1976,https://boxd.it/298w,2
2021-10-23,Performance,1970,https://boxd.it/1txE,1
2021-10-23,A Clockwork Orange,1971,https://boxd.it/2aVE,3.5
2021-10-24,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,4.5
2021-10-24,The Emperor's New Groove,2000,https://boxd.it/1Tey,4
2021-10-25,Alien,1979,https://boxd.it/2awY,4.5
2021-10-25,The Thing,1982,https://boxd.it/294O,3.5
2021-10-25,Derek Zoolander: Male Model,1996,https://boxd.it/5IAc,5
2021-10-25,Derek Zoolander University,1997,https://boxd.it/5IA2,3.5
2021-10-25,The Chorus,2004,https://boxd.it/22X8,2.5
2021-10-25,Swing Kids,1993,https://boxd.it/1Wjm,3
2021-10-28,Secretary,2002,https://boxd.it/1URc,4.5
2021-10-29,Empire of the Sun,1987,https://boxd.it/1X4i,2
2021-10-30,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,4
2021-10-30,Defending Jacob,2020,https://boxd.it/q2VE,4
2021-10-30,Midsommar,2019,https://boxd.it/jhxe,3.5
2021-10-30,Madagascar,2005,https://boxd.it/29dc,4
2021-10-31,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,3.5
2021-10-31,The Cable Guy,1996,https://boxd.it/1XAI,3.5
2021-10-31,Hairspray,2007,https://boxd.it/261M,4.5
2021-10-31,Interview with the Vampire,1994,https://boxd.it/29XO,3.5
2021-11-03,The Darjeeling Limited,2007,https://boxd.it/24as,4
2021-11-03,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4
2021-11-03,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,3.5
2021-11-03,Nocturnal Animals,2016,https://boxd.it/bkFu,3
2021-11-05,Punch-Drunk Love,2002,https://boxd.it/20E4,4
2021-11-07,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,3.5
2021-11-12,"Sex, Lies, and Videotape",1989,https://boxd.it/28Oc,5
2021-12-13,House of Gucci,2021,https://boxd.it/nVkC,4
2021-12-13,Marriage Story,2019,https://boxd.it/hJAw,3.5
2021-12-13,Last Night in Soho,2021,https://boxd.it/lbJC,3
2021-12-13,Squid Game,2021,https://boxd.it/x1OG,4.5
2021-12-18,Crash,1996,https://boxd.it/29n2,3
2022-01-31,Spencer,2021,https://boxd.it/qPMG,3
2022-04-17,Gaslight,1944,https://boxd.it/1PYs,4.5
2022-04-17,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,3.5
2022-04-17,The Invention of Lying,2009,https://boxd.it/1zGs,1
2022-04-17,The French Dispatch,2021,https://boxd.it/jLP8,4
2022-06-06,Akira,1988,https://boxd.it/2b1i,3
2022-06-06,Dune,2021,https://boxd.it/fA7G,2.5
2022-07-03,Possession,1981,https://boxd.it/1BPm,4.5
